DateTime,AddedIPs,RemovedIPs
1656020524,13,7
1656021245,7,2
1656021965,7,22
1656023043,13,1
1656023763,13,25
1656024484,14,4
1656024844,9,0
1656026645,26,23
1656027364,6,18
1656029164,23,22
1656029885,7,0
1656031684,26,26
1656032045,5,0
1656032765,7,20
1656034565,25,124
1656035284,4,8
1656036007,6,18
1656036724,3,4
1656037086,0,1
1656037804,0,21
1656038525,4,13
1656039245,3,4
1656039964,12,25
1656040684,2,0
1656041405,6,28
1656042124,5,13
1656042846,8,4
1656043564,7,19
1656043924,4,1
1656044644,7,5
1656045726,5,31
1656046444,3,5
1656048244,12,29
1656048965,4,15
1656050233,8,9
1656051538,11,19
1656055806,80,68
1656058842,40,16
1656060619,25,15
1656061734,29,20
1656062284,27,3
1656064083,81,24
1656065164,15,11
1656066247,11,5
1656066606,6,12
1656067324,9,5
1656067684,2,0
1656069484,20,6
1656069844,4,0
1656070565,5,21
1656071286,7,6
1656073084,22,13
1656073805,12,16
1656075244,20,3
1656075965,10,19
1656077044,13,2
1656078485,16,20
1656079924,28,11
1656081007,20,11
1656082084,31,3
1656083165,24,15
1656083884,8,0
1656085024,6,30
1656086164,14,4
1656086765,7,13
1656087484,5,0
1656088205,6,16
1656089284,13,8
1656089644,4,0
1656090724,12,12
1656091444,4,1
1656092166,11,15
1656093963,22,26
1656094684,3,0
1656096844,21,18
1656098646,26,18
1656100444,7,22
1656102245,17,9
1656103324,15,22
1656104044,7,0
1656104764,8,13
1656105125,2,0
1656106205,12,16
1656106925,3,11
1656107644,9,0
1656108724,6,11
1656109444,12,0
1656110585,11,23
1656112324,24,10
1656113044,9,0
1656113765,10,0
1656115208,11,5
1656116284,15,0
1656116645,5,0
1656117724,9,53
1656118924,10,16
1656120064,12,6
1656120964,10,19
1656122045,14,10
1656123125,15,15
1656123844,5,0
1656124565,9,18
1656124924,3,0
1656126726,26,16
1656127444,10,0
1656127805,1,21
1656128524,8,7
1656129245,10,3
1656129967,7,10
1656131045,14,1
1656132844,26,20
1656134645,21,13
1656135007,5,20
1656136085,7,5
1656136444,1,0
1656137164,6,9
1656137884,6,1
1656138245,3,2
1656140044,17,22
1656141484,14,9
1656143644,19,19
1656144725,8,10
1656145444,6,0
1656146164,9,14
1656147246,11,3
1656148325,7,13
1656150125,24,18
1656150485,5,0
1656151625,16,13
1656152286,7,0
1656154084,17,22
1656155164,8,16
1656156244,8,0
1656156964,3,11
1656157323,3,7
1656158045,9,0
1656159485,16,14
1656160205,4,17
1656160925,8,3
1656161645,8,0
1656163083,17,17
1656164884,12,22
1656165245,5,0
1656166684,15,13
1656167406,6,18
1656168844,8,3
1656169983,4,19
1656170645,6,1
1656171365,10,47
1656171724,3,9
1656173524,15,8
1656173886,3,0
1656175024,7,27
