DateTime,AddedIPs,RemovedIPs
1655979156,6,4
1655980207,6,18
1655980926,1,2
1655981645,2,1
1655982365,0,1
1655983086,4,0
1655983445,11,0
1655984165,0,4
1655985245,2,3
1655987044,0,3
1655988846,1,18
1655991006,10,0
1655991368,1,1
1655993165,5,1
1655993886,1,0
1655994966,0,5
1655996046,0,5
1655998565,0,2
1656001087,4,3
1656003245,6,12
1656004327,11,3
1656005046,0,1
1656006127,0,11
1656006486,0,1
1656007210,1,3
1656008287,1,0
1656009008,0,6
1656009725,1,1
1656010448,2,1
1656011585,15,2
1656014046,2,1
1656015846,0,2
1656017286,1,5
1656019085,9,14
1656019807,0,3
1656020525,1,0
1656021246,0,2
1656021966,1,1
1656022685,1,1
1656023407,3,4
1656024127,10,3
1656024845,1,2
1656026646,7,3
1656027365,5,1
1656029165,4,1
1656029886,0,1
1656030608,8,17
1656031685,0,3
1656032766,2,1
1656034566,1,4
1656035285,2,0
1656037805,1,2
1656038527,0,7
1656039246,0,1
1656039965,1,8
1656040686,0,1
1656041407,0,2
1656042125,1,1
1656042847,1,0
1656043565,2,1
1656043926,2,0
1656044645,1,3
1656045727,3,9
1656046446,1,2
1656048245,2,15
1656048967,1,3
1656050259,0,8
1656051688,6,12
1656053839,1,15
1656055317,5,13
1656055808,4,5
1656058145,9,7
1656059406,3,12
1656062012,26,12
1656062286,8,4
1656063367,11,14
1656064085,16,0
1656065166,2,1
1656066248,4,1
1656066608,1,7
1656067327,0,5
1656067685,0,1
1656069485,10,4
1656069846,4,0
1656070567,2,2
1656071287,0,1
1656073085,1,6
1656073807,2,8
1656075245,10,0
1656075966,3,12
1656077045,5,2
1656078487,11,7
1656079925,9,4
1656081008,6,2
1656082085,4,4
1656083166,6,2
1656083886,3,4
1656085025,11,8
1656086166,6,3
1656086766,2,2
1656087485,1,1
1656088207,5,3
1656089286,3,2
1656090726,0,1
1656091445,4,2
1656092167,17,8
1656093965,8,3
1656094685,3,1
1656096845,2,15
1656098647,1,6
1656100446,14,7
1656102246,5,4
1656103326,2,13
1656104045,5,0
1656104765,5,10
1656105126,1,1
1656106206,2,5
1656106926,2,9
1656107645,9,5
1656108726,2,1
1656109445,4,2
1656110586,0,6
1656112325,3,14
1656113045,2,0
1656113766,4,2
1656115210,17,5
1656116287,5,2
1656117725,9,62
1656118925,1,18
1656120066,1,9
1656120966,10,5
1656122046,2,2
1656123126,2,1
1656123846,0,1
1656124566,2,2
1656124925,1,2
1656126727,13,16
1656127446,3,0
1656127807,2,2
1656128526,1,0
1656129246,0,1
1656129968,1,2
1656131047,13,0
1656132845,10,10
1656134646,4,9
1656135008,1,4
1656136445,3,4
1656137165,5,6
1656137885,1,1
1656138246,1,0
1656140046,3,3
1656141486,1,1
1656143645,1,6
1656144726,1,2
1656145445,1,1
1656146165,0,3
1656147247,1,10
1656148326,9,3
1656150126,6,3
1656150486,0,1
1656151626,0,5
1656152287,13,1
1656154085,8,8
1656155165,3,7
1656155886,6,5
1656156245,4,4
1656156965,4,5
1656157325,3,1
1656158046,1,4
1656159486,4,9
1656160206,11,8
1656160926,4,0
1656161646,2,0
1656163085,0,10
1656164885,8,1
1656165246,0,7
1656166686,3,2
1656167407,0,4
1656168846,5,4
1656169984,2,7
1656170646,10,1
1656171366,1,1
1656171726,0,1
1656173526,2,2
1656173887,0,1
1656175025,17,3
1656176047,2,12
1656178206,2,3
1656178566,3,0
1656180366,0,4
1656181086,2,2
1656181444,0,1
1656182528,3,7
1656183246,1,1
1656183966,0,2
1656184686,1,3
1656185407,1,2
1656185766,5,1
1656186847,9,3
1656187566,2,2
1656187925,0,2
1656189067,6,3
1656190086,4,5
1656191226,2,3
1656193692,3,7
1656194843,17,1
1656195487,0,1
1656196209,1,3
1656198365,9,2
1656199088,0,3
1656199809,3,2
1656200526,1,1
1656201247,0,2
1656202327,8,2
1656203045,4,1
1656203408,5,0
1656204127,2,5
1656205566,8,4
1656207365,8,4
1656208087,0,2
1656209886,12,1
1656210607,0,4
1656210967,1,0
1656212047,3,6
1656214926,3,3
1656215645,9,3
1656216367,7,1
1656217809,0,2
1656220327,4,3
1656221045,0,1
1656221765,0,4
1656222485,3,1
1656224285,3,3
1656225366,0,3
1656226086,4,3
1656227886,3,2
1656230046,17,8
1656231188,1,1
1656231846,0,1
1656232566,1,16
1656233286,4,1
1656233646,4,1
1656234364,1,6
1656235085,3,0
1656235807,1,3
1656237285,15,0
1656238327,0,4
1656240247,2,8
1656241385,2,3
1656242286,1,0
1656243367,4,7
1656244809,15,4
1656245885,9,1
1656246606,4,5
1656248411,7,6
1656248765,2,0
1656250926,1,2
1656252725,10,5
1656253446,3,1
1656253807,2,4
1656254886,2,2
1656255965,6,3
1656257767,8,3
1656258484,0,2
1656259925,17,4
1656260645,2,2
1656261366,0,2
1656261726,1,2
1656262445,0,2
1656263167,1,3
1656265326,3,7
1656266046,2,2
1656266766,5,2
1656267164,3,1
1656267845,1,1
1656268984,5,6
1656269646,1,1
1656270725,1,11
1656271445,0,1
1656272166,1,0
1656272886,0,2
1656274326,16,3
1656276126,9,4
1656276846,8,0
1656278646,1,8
1656279365,1,5
1656280085,1,3
1656281886,15,2
1656282966,2,0
1656283326,3,3
1656284525,1,7
1656286208,1,2
1656287646,16,1
1656288365,1,0
1656289085,0,2
1656291246,2,1
1656291966,2,0
1656293106,1,1
1656294245,5,3
1656295209,1,4
1656298087,1,1
1656298809,2,2
1656299527,7,1
1656300666,8,5
1656301327,2,1
1656302045,1,1
1656303846,9,1
1656304928,9,3
1656306725,4,1
1656307445,1,2
1656308886,1,1
1656309246,1,1
1656311046,4,5
1656312125,1,3
1656313565,1,1
1656313926,0,3
1656315725,3,1
1656316446,2,2
1656317167,1,1
1656319326,7,6
1656320045,0,2
1656321125,14,4
1656322265,3,3
1656322927,0,1
1656323645,1,0
1656326527,9,4
1656327246,1,1
1656328325,0,3
1656329765,5,8
1656330486,1,4
1656330846,1,0
1656331926,0,3
1656332648,1,0
1656333846,4,1
1656334985,2,2
1656335528,3,1
1656336246,12,2
1656336966,3,3
1656337326,2,1
1656339125,4,6
1656339485,2,1
1656340927,0,3
1656341645,2,3
1656342366,1,2
1656344165,15,6
1656345248,0,3
1656346385,5,3
1656347047,3,0
1656349566,0,1
1656350645,8,1
1656352445,7,2
1656353526,3,2
1656354245,1,3
1656355327,4,5
1656356046,4,4
1656357486,11,5
1656359646,8,3
1656360727,3,4
1656361445,0,12
1656362166,2,1
1656362887,4,6
1656363609,5,7
1656363966,7,1
1656365767,11,5
1656366487,2,2
1656368285,3,3
1656368645,2,0
1656369727,2,3
1656370445,8,0
1656371166,10,5
1656372966,0,8
1656373688,1,2
1656374046,3,1
1656375126,2,6
1656375846,2,2
1656377647,17,3
1656378367,0,8
1656380166,0,4
1656381245,2,1
1656381966,2,1
1656382685,18,0
1656383407,4,4
1656384486,1,3
1656386286,0,14
1656387725,1,5
1656388445,2,2
1656389887,1,3
1656390608,1,0
1656391326,1,1
1656391686,2,1
1656393487,2,4
1656394207,0,1
1656395646,4,2
1656396366,2,1
1656396727,2,0
1656398166,1,9
1656399965,1,9
1656401410,0,2
1656402127,0,2
1656403567,2,5
1656404646,1,0
1656406446,5,10
1656407167,3,7
1656407885,1,2
1656408607,1,2
1656409328,8,1
1656410045,3,2
1656410766,4,0
1656411848,1,1
1656412566,0,1
1656412925,0,7
1656414012,2,11
1656415446,9,3
1656416166,4,1
1656416885,1,2
1656418687,6,2
1656419765,2,1
1656420485,3,4
1656421209,5,9
1656421956,9,2
1656422285,1,2
1656423366,1,6
1656424087,4,1
1656424444,1,1
1656426246,1,3
1656426966,0,8
1656427685,3,4
1656428045,2,1
1656428765,6,8
1656429487,4,0
1656430928,1,2
1656432365,0,2
1656432726,0,1
1656433446,1,2
1656435246,7,8
1656435965,1,9
1656436686,1,1
1656437407,8,2
1656438847,1,3
1656441367,0,2
1656442085,0,1
1656442811,4,4
1656443526,2,1
1656443885,2,0
1656445686,8,4
1656447185,3,2
1656448207,5,5
1656448927,1,3
1656449646,3,2
1656450366,0,11
1656451085,5,2
1656451808,0,4
1656452167,2,0
1656453245,13,0
1656453610,0,2
1656454328,1,3
1656455406,0,5
1656456846,3,5
1656457565,2,8
1656458285,0,2
1656460085,2,0
1656461526,1,1
1656461885,1,0
1656463686,7,2
1656464409,1,2
1656464765,3,0
1656465487,0,1
1656465846,5,0
1656467646,11,1
1656468725,6,3
1656469807,2,6
1656470886,0,3
1656471609,0,1
1656472329,0,1
1656472686,0,2
1656474487,8,10
1656475210,2,5
1656475566,1,0
1656476287,0,2
1656479166,13,2
1656480246,1,1
1656480966,0,1
1656481687,0,1
1656482045,0,1
1656482766,1,1
1656484926,2,2
1656485645,0,1
1656486726,1,1
1656488165,1,3
1656488885,0,2
1656489246,1,0
1656490327,8,6
1656491407,0,9
1656492546,0,3
1656493566,1,3
1656494286,1,0
1656495006,0,3
1656495726,0,3
1656497166,11,1
1656498307,5,1
