DateTime,AddedIPs,RemovedIPs
1656127661,100238,3
1656128381,96,35
1656129102,93,38
1656129822,100,26
1656130541,77,39
1656131261,59,22
1656131982,84,39
1656132702,83,39
1656133422,78,34
1656134143,73,35
1656134861,66,32
1656135581,58,37
1656136301,72,23
1656137021,73,27
1656137742,54,27
1656138462,66,18
1656139181,57,29
1656139902,63,49
1656140621,67,67
1656141343,60,64
1656142061,60,75
1656142781,60,83
1656143741,60,99
1656144462,54,54
1656145182,58,48
1656145901,55,61
1656146622,59,48
1656147341,66,48
1656148063,72,60
1656148782,53,52
1656149502,50,59
1656150222,65,46
1656150942,55,39
1656151902,70,50
1656152621,56,39
1656153342,43,42
1656154061,53,32
1656154782,37,42
1656155743,72,43
1656156462,48,57
1656157181,55,47
1656157901,38,42
1656158621,39,29
1656159341,52,38
1656160061,43,39
1656160781,67,31
1656161501,45,37
1656162223,35,43
1656162941,42,35
1656163662,40,35
1656164383,47,26
1656165102,42,35
1656165821,42,24
1656166541,27,29
1656167261,28,34
1656167981,46,32
1656168702,51,32
1656169664,57,38
1656170383,42,41
1656171102,50,16
1656171823,44,27
1656172541,42,31
1656173263,52,27
1656173981,71,26
1656174702,67,27
1656175661,95,43
1656176381,70,18
1656177104,64,26
1656177823,50,27
1656178545,57,29
1656179262,62,19
1656179982,55,30
1656180702,45,31
1656181422,43,25
1656182141,68,29
1656182861,75,11
1656183582,49,26
1656184303,53,29
1656185021,43,23
1656185742,53,14
1656186462,49,29
1656187182,45,15
1656187901,51,22
1656188622,59,17
1656189342,58,22
1656190061,48,126
1656190781,55,151
1656191502,52,228
1656192222,62,389
1656192944,151,366
1656193661,183,358
1656194382,100,330
1656195101,101,278
1656195822,97,297
1656196542,107,293
1656197261,103,264
1656197982,107,225
1656198941,154,283
1656199661,120,179
1656200321,75,153
1656201343,143,318
1656202061,95,280
1656202781,126,280
1656203502,116,230
1656204221,112,249
1656204941,104,192
1656205661,150,190
1656206381,159,189
1656207101,187,144
1656207821,156,145
1656208543,167,145
1656209261,153,141
1656209980,179,112
1656210941,266,148
1656211662,180,102
1656212382,146,110
1656213103,153,99
1656213822,135,105
1656214543,160,88
1656215262,158,102
1656215981,167,91
1656216702,132,90
1656217422,133,73
1656218143,136,85
1656219101,171,98
1656219821,117,82
1656220542,129,72
1656221260,136,55
1656221982,124,63
1656222702,123,71
1656223421,135,66
1656224141,114,62
1656225103,177,94
1656225823,139,58
1656226542,123,79
1656227501,160,68
1656228221,115,59
1656228941,148,76
1656229661,120,64
1656230382,123,53
1656231341,205,84
1656232061,146,54
1656232782,123,60
1656233502,150,71
1656234222,126,71
1656234942,191,64
1656235661,1183,51
1656236382,122,69
1656237103,718,70
1656237821,129,57
1656238541,385,57
1656239262,166,52
1656239983,145,50
1656240707,121,57
1656241421,115,45
1656242141,118,68
1656243102,149,66
1656243821,115,53
1656244782,158,53
1656245502,103,55
1656246221,111,44
1656246944,93,70
1656247661,99,46
1656248382,102,48
1656249102,100,57
1656249822,88,46
1656250544,79,48
1656251262,71,57
1656251981,61,43
1656252941,117,54
1656253661,94,42
1656254384,76,47
1656255102,75,47
1656255822,67,47
1656256544,63,38
1656257262,77,64
1656257983,69,42
1656258944,101,60
1656259661,62,58
1656260381,69,71
1656261101,69,65
1656261822,67,64
1656262781,98,104
1656263503,72,63
1656264221,82,62
1656264944,81,62
1656265661,83,51
1656266382,73,61
1656267163,78,55
1656267823,64,38
1656268541,80,69
1656269261,74,65
1656269981,114,40
1656270943,85,68
1656271663,83,50
1656272381,64,45
1656273101,80,64
1656273822,73,46
1656274542,68,54
1656275263,75,53
1656275981,54,62
1656276703,68,53
1656277421,65,61
1656278144,64,57
1656278861,77,65
1656279583,63,179
1656280542,89,138
1656281261,66,110
1656281981,85,108
1656282702,77,115
1656283421,69,112
1656284383,175,138
1656285101,113,123
1656285822,80,108
1656286544,66,100
1656287261,74,101
1656287981,56,118
1656288942,93,146
1656289663,97,139
1656290383,75,113
1656291102,64,108
1656291823,77,117
1656292541,95,153
1656293262,68,195
1656293983,92,157
1656294702,80,156
1656295421,109,146
1656296142,87,156
1656296863,81,195
1656297821,119,250
1656298543,88,150
1656299263,93,152
1656300222,110,188
1656300941,86,148
1656301663,96,158
1656302382,105,166
1656303102,91,131
1656303822,90,142
1656304541,75,133
1656305262,93,133
1656305982,106,131
1656306702,77,115
1656307661,124,167
1656308382,105,129
1656309101,78,122
1656309821,92,131
1656310541,95,118
1656311262,61,140
1656312221,91,173
1656312941,78,109
1656313902,93,155
1656314621,111,110
1656315343,85,139
1656316063,96,116
1656316782,82,110
1656317504,62,148
1656318222,79,137
1656318941,62,130
1656319603,64,114
1656320625,119,174
1656321345,92,187
1656322061,76,126
1656322781,82,109
1656323503,77,129
1656324222,90,118
1656324941,84,118
1656325663,89,116
1656326622,106,169
1656327341,85,113
1656328062,72,126
1656328782,78,102
1656329504,57,88
1656330221,78,115
1656330943,83,106
1656331662,71,89
1656332624,107,124
1656333343,78,90
1656334063,287,97
1656334781,62,87
1656335504,68,90
1656336462,83,98
1656337182,68,78
1656337901,63,69
1656338622,61,75
1656339343,63,74
1656340064,57,84
1656340781,62,58
1656341503,61,73
1656342221,58,59
1656342941,87,55
1656343661,62,56
1656344381,56,65
1656345101,50,65
1656345821,63,64
1656346541,48,70
1656347261,46,59
1656347981,38,66
1656348703,67,65
1656349423,58,79
1656350141,51,71
1656350863,50,69
1656351583,50,77
1656352303,55,64
1656353261,71,85
1656353982,49,70
1656354943,73,86
1656355662,54,75
1656356381,60,103
1656357102,58,68
1656357823,41,70
1656358541,43,70
1656359262,51,63
1656359981,45,80
1656360943,59,83
1656361661,49,82
1656362381,50,58
1656363101,52,58
1656363822,45,66
1656364543,47,69
1656365261,41,69
1656365982,60,63
1656366941,65,59
1656367661,33,59
1656368381,45,55
1656369100,57,57
1656369822,38,57
1656370541,55,68
1656371262,41,135
1656371981,43,63
1656372702,41,45
1656373421,46,40
1656374142,96,48
1656374862,73,39
1656375582,41,33
1656376301,42,56
1656377022,35,46
1656377741,44,42
1656378701,57,50
1656379422,41,41
1656380142,47,56
1656380862,34,38
1656381581,39,69
1656382301,45,56
1656383021,39,47
1656383741,28,53
1656384701,62,80
1656385421,36,62
1656386141,48,54
1656386863,52,56
1656387582,38,67
1656388302,30,58
1656389021,44,65
1656389795,5,89229
1656390463,89182,9
1656391182,52,61
1656391903,51,72
1656392622,45,54
1656393341,39,63
1656394062,52,71
1656394782,52,70
1656395501,49,67
1656396223,43,63
1656396943,35,59
1656397663,52,51
1656398383,49,55
1656399101,50,58
1656399820,47,69
1656400541,44,80
1656401261,41,69
1656401982,52,75
1656402701,50,65
1656403421,62,60
1656404141,47,64
1656404863,44,61
1656405582,41,52
1656406302,42,69
1656407021,43,69
1656407741,26,75
1656408462,31,56
1656409183,43,83
1656409901,62,59
1656410621,39,100
1656411342,31,88
1656412303,55,123
1656413021,43,79
1656413741,33,77
1656414462,50,76
1656415181,48,91
1656415902,59,69
1656416622,47,80
1656417342,39,79
1656418063,37,68
1656418781,46,82
1656419502,34,89
1656420221,41,74
1656420941,36,65
1656421663,39,80
1656422382,38,63
1656423102,62,73
1656423821,43,65
1656424541,52,79
1656425261,41,77
1656425982,33,66
1656426702,50,60
1656427421,45,62
1656428144,47,65
1656428861,46,87
1656429822,64,115
1656430542,41,55
1656431261,51,60
1656431985,45,76
1656432702,49,58
1656433901,65,83
1656434622,35,63
1656435342,37,66
1656436061,38,66
1656436784,45,59
1656437501,39,50
1656438221,41,58
1656438882,40,51
1656439661,45,101
1656440382,43,51
1656441101,42,54
1656441822,48,60
1656442541,60,62
1656443501,75,78
1656444220,90,41
1656444941,293,51
1656445661,230,52
1656446381,190,45
1656447101,158,46
1656447820,63,44
1656448543,120,50
1656449261,134,51
1656449982,99,42
1656450701,107,51
1656451421,83,45
1656452141,90,50
1656453102,123,59
1656453821,88,41
1656454543,86,51
1656455502,105,55
1656456221,89,43
1656456942,36,44
1656457663,87,40
1656458382,63,50
1656459101,55,47
1656459822,75,53
1656460542,61,53
1656461262,59,43
1656462222,83,55
1656462941,52,37
1656463661,62,40
1656464381,76,31
1656465101,52,49
1656465821,51,54
1656466541,44,44
1656467261,41,35
1656467982,42,44
1656468702,46,53
1656469421,53,41
1656470141,48,36
1656471101,76,74
1656471821,43,37
1656472543,44,52
1656473261,43,57
1656473981,52,45
1656474701,42,41
1656475421,33,47
1656476141,41,50
1656476860,38,50
1656477581,47,60
1656478303,40,49
1656479021,39,48
1656479741,46,40
1656480461,58,53
1656481182,44,40
1656481902,37,46
1656482625,33,44
1656483341,34,36
1656484062,32,45
1656485021,60,67
1656485741,49,44
1656486461,53,46
1656487181,34,43
1656487901,35,37
1656488623,55,48
1656489343,41,45
1656490063,49,67
1656490781,36,68
1656491501,43,73
1656492222,48,76
1656492944,40,78
1656493662,31,68
1656494381,38,87
1656495102,41,91
1656495821,40,143
