DateTime,AddedIPs,RemovedIPs
1655494089,15,15
1655496041,10,9
1655497934,10,0
1655499874,13,19
1655501767,15,0
1655503927,8,25
1655506088,11,16
1655508004,17,10
1655509930,4,12
1655511873,8,10
1655513770,13,15
1655515930,17,15
1655517873,8,12
1655519769,4,17
1655521716,16,12
1655523607,7,9
1655525768,10,12
1655527711,11,11
1655529605,9,5
1655531775,7,16
1655533715,23,16
1655535611,16,18
1655537769,17,16
1655540115,14,7
1655542093,11,16
1655544252,10,9
1655546194,12,14
1655548088,10,11
1655550247,3,17
1655552195,9,12
1655554088,13,12
1655556031,11,9
1655558102,10,9
1655560087,14,11
1655562250,10,7
1655564196,9,9
1655566087,14,10
1655568285,7,12
1655570195,11,12
1655572089,11,11
1655574009,8,10
1655575955,11,14
1655577847,10,7
1655580005,11,9
1655582165,8,3
1655584323,9,5
1655586485,10,14
1655588436,13,8
1655590483,12,4
1655592511,9,6
1655594405,7,13
1655596356,8,11
1655598256,5,13
1655600164,9,7
1655602116,7,13
1655604009,10,12
1655605951,8,14
1655607846,11,7
1655609948,8,12
1655611952,13,18
1655613851,10,10
1655615790,6,10
1655617688,9,11
1655619849,18,16
1655621793,12,23
1655623936,19,18
1655626118,14,30
1655628005,12,0
1655630166,12,21
1655632117,16,12
1655634003,16,15
1655635929,18,15
1655637876,10,0
1655639773,21,20
1655641924,13,9
1655643845,13,17
1655645793,6,24
1655647692,13,8
1655649604,8,11
1655651558,26,10
1655653448,6,8
1655655611,14,14
1655657768,14,10
1655659927,15,12
1655662089,15,9
1655664032,11,7
1655665927,15,12
1655667881,12,17
1655669771,15,0
1655671717,8,17
1655673605,6,7
1655675768,8,11
1655677712,10,11
1655679609,5,15
1655681529,7,8
1655683479,15,5
1655685607,11,4
1655687765,19,9
1655689712,11,12
1655691850,12,9
1655694017,12,10
1655696170,13,18
1655698112,8,11
1655700005,17,11
1655702169,14,15
1655704111,11,10
1655706004,15,7
1655708165,13,7
1655710324,17,13
1655712486,15,12
1655714410,13,8
1655716569,1,16
1655718517,12,12
1655720646,11,9
1655722591,15,10
1655724485,12,11
1655726648,11,12
1655728810,5,16
1655730966,14,16
1655732914,9,20
