DateTime,AddedIPs,RemovedIPs
1656082082,65,14531
1656082810,41,28
1656083882,14696,43
1656084967,24,23
1656086162,152,94
1656086919,18,25
1656088203,628,893
1656088811,17,35
1656089282,60,20
1656089642,20,0
1656090971,94,79
1656091442,34,0
1656092163,47,63
1656092913,26,19
1656093962,81,61
1656094806,20,15
1656096970,175,102
1656099128,142,91
1656100442,348,97
1656101290,25,22
1656102242,81,44
1656103450,113,107
1656104042,94,0
1656105123,23,32898
1656105393,61,51
1656106202,33195,10
1656107289,213,53
1656107642,189,1
1656108722,257,37
1656109234,22,39
1656109442,200,0
1656111126,28,24
1656112322,739,153
1656113079,477,0
1656113762,326,0
1656114965,14,24
1656115205,357,46
1656116282,311,1
1656117126,15,15
1656117722,505,81
1656119287,18,16
1656120062,504,60
1656121240,174,339
1656123127,395,79
1656123842,97,0
1656124563,106,58
1656125286,31,25
1656126723,358,75
1656127446,27,15
1656127803,133,59
1656128522,113,27
1656129364,12,23
1656130322,296,39
1656131319,127,28
1656132842,237,68
1656133211,19,19
1656134642,211,51
1656135377,14,24
1656136082,152,88
1656136442,41,1
1656137285,14,10
1656138242,166,49
1656139238,16,24
1656140042,174,75
1656141128,10,18
1656141482,128,50
1656143286,15,32
1656143642,204,100
1656144722,97,47
1656145238,11,21
1656145442,63,0
1656146162,56,70
1656147128,13,31
1656147243,83,12
1656148323,86,65
1656149287,12,20
1656150123,145,1889
1656151451,45,1425
1656151923,107,416
1656152284,43,0
1656153399,21,19
1656154082,136,584
1656155290,735,564
1656156242,77,0
1656157237,58,558
1656157322,23,102
1656158042,49,0
1656159128,107,300
1656159483,23,0
1656160202,50,415
1656161046,25,35
1656161643,83,158
1656162996,20,50
1656163082,97,602
1656164886,27,62
1656165242,131,914
1656167046,20,34
1656167403,128,993
1656169212,93,134
1656169981,61,455
1656170642,50,0
1656171154,16,20
1656171362,41,1385
1656171722,19,260
1656173047,18,267
1656173521,101,1275
1656173883,20,0
1656175232,113,635
1656176043,72,0
1656177156,15,22
1656178203,182,165
1656179045,28,23
1656179762,128,37
1656181207,95,80
