DateTime,AddedIPs,RemovedIPs
1656049322,19,19
1656050522,8,8
1656051122,9,9
1656053522,13,13
1656054122,11,11
1656054722,5,5
1656055322,1,1
1656056523,5,5
1656057122,4,4
1656058922,13,13
1656059523,2,2
1656060722,6,6
1656061922,9,9
1656063123,19,19
1656064322,8,8
1656064922,5,5
1656066122,6,6
1656066722,8,8
1656067322,4,4
1656068522,10,10
1656069722,8,8
1656070322,5,5
1656071521,3,3
1656072122,6,6
1656073322,6,6
1656073922,6,6
1656075122,7,7
1656076322,2,2
1656077523,4,4
1656078722,3,3
1656079922,13,13
1656080522,4,4
1656082322,9,9
1656082922,1,1
1656084723,6,6
1656085322,4,4
1656085922,5,5
1656086522,5,5
1656087722,7,7
1656088323,3,3
1656089522,5,5
1656090122,5,5
1656090722,8,8
1656091322,7,7
1656091923,3,3
1656093122,9,9
1656094322,9,9
1656094922,5,5
1656095522,28,28
1656096722,16,16
1656097322,4,4
1656098522,10,10
1656099122,8,8
1656099722,6,6
1656100922,8,8
1656102122,16,16
1656103322,12,12
1656104522,9,9
1656105722,13,13
1656106322,5,5
1656107523,9,9
1656108122,7,7
1656109322,8,8
1656109922,6,6
1656110522,5,5
1656111122,6,6
1656111722,7,7
1656112322,6,6
1656112922,2,2
1656114122,10,10
1656115322,7,7
1656116522,12,12
1656117122,9,9
1656118322,14,14
1656118922,10,10
1656119522,5,5
1656120722,5,5
1656121921,17,17
1656122522,14,14
1656123722,11,11
1656124322,3,3
1656124922,4,4
1656125522,5,5
1656126122,11,11
1656126722,6,6
1656127923,33,33
1656128522,14,14
1656129722,32,32
1656130922,13,13
1656131523,8,8
1656132122,13,13
1656133322,6,6
1656134522,12,12
1656135123,2,2
1656135722,7,7
1656136922,4,4
1656138122,5,5
1656138722,3,3
1656139922,20,20
1656140522,14,14
1656141722,3,3
1656142322,3,3
1656142922,9,9
1656143522,1,1
1656144122,3,3
1656145322,17,17
1656145923,17,17
1656146522,7,7
1656147722,16,16
1656148322,10,10
1656148922,10,10
1656150122,14,14
1656151322,40,40
1656152522,10,10
1656153722,8,8
1656154322,6,6
1656154922,4,4
1656155522,7,7
1656156122,6,6
1656156722,6,6
1656157322,2,2
1656158522,8,8
1656159722,14,14
1656160322,4,4
1656160922,8,8
1656161522,17,17
1656162122,10,10
1656162722,8,8
1656163322,12,12
1656163923,6,6
1656164522,2,2
1656165122,9,9
1656166322,4,4
1656167522,10,10
1656168722,8,8
1656169322,1,1
1656169922,2,2
1656170522,28,28
1656171123,7,7
1656172922,12,12
1656173522,7,7
1656174122,17,17
1656175322,8,8
1656175922,4,4
1656176522,1,1
1656177122,3,3
1656178922,3,3
1656179522,6,6
1656180722,13,13
1656181322,1,1
1656182522,4,4
1656183722,10,10
1656184922,10,10
1656186122,13,13
1656186722,4,4
1656187922,29,29
1656188522,23,23
1656189123,3,3
1656189722,9,9
1656190922,5,5
1656191523,2,2
1656193322,15,15
1656194522,8,8
1656195722,6,6
1656196322,3,3
1656197522,7,7
1656198122,5,5
1656198723,7,7
1656199322,7,7
1656199922,11,11
1656200522,9,9
1656201122,3,3
1656201722,9,9
1656202322,12,12
1656202922,2,2
1656203522,4,4
1656204123,13,13
1656204722,7,7
1656205922,56,56
1656206522,7,7
1656207122,10,10
1656207722,6,6
1656208922,14,14
1656209522,13,13
1656210122,29,29
1656210723,12,12
1656211923,10,10
1656212522,5,5
1656213123,5,5
1656214922,19,19
1656216122,14,14
1656217322,9,9
1656218522,7,8
1656219723,17,16
1656220323,14,14
1656220922,11,11
1656222122,24,24
1656222722,14,14
1656224522,30,30
1656225722,16,16
1656226322,8,8
1656227522,12,12
1656228123,8,8
1656229323,12,12
1656229922,26,26
1656230522,5,5
1656231122,9,9
1656231723,11,11
1656232322,8,8
1656232922,8,8
1656234122,29,29
1656235322,17,17
1656235922,12,12
1656236522,4,4
1656237722,9,9
1656238922,26,26
1656240122,7,7
1656240722,14,14
1656242522,34,34
1656243123,11,11
1656244322,15,15
1656244922,2,2
1656245522,8,8
1656247323,25,25
1656247922,12,12
1656248522,4,4
1656249722,13,13
1656250922,9,9
1656252122,8,8
1656252722,4,4
1656253322,6,6
1656253922,1,1
1656255123,18,18
1656256322,17,17
1656256922,13,13
1656258122,16,16
1656258722,2,2
1656259322,12,12
1656259922,13,13
1656261123,21,21
1656261722,16,16
1656262322,11,11
1656263522,14,14
1656264122,1,1
1656264722,4,4
1656265322,15,15
1656266522,19,19
1656267122,6,6
1656268322,19,19
1656268922,4,4
1656269522,4,4
1656271322,23,23
1656271923,3,3
1656273122,17,17
1656273722,8,8
1656274322,2,2
1656275522,1,1
1656276122,3,3
1656276722,3,3
1656277322,4,4
1656277922,13,13
1656278522,7,7
1656279123,13,13
1656280322,13,13
1656280922,9,9
1656282122,23,23
1656282723,12,12
1656283322,5,5
1656283923,5,5
1656284522,9,9
1656285722,9,9
1656286922,15,15
1656287522,5,5
1656288123,6,6
1656288723,4,4
1656289322,18,18
1656289923,12,12
1656291122,34,34
1656291722,16,16
1656292922,29,29
1656293522,15,15
1656294122,18,18
1656295322,17,17
1656296522,19,19
1656297122,22,22
1656297722,13,14
1656298322,12,12
1656298922,14,14
1656299523,10,10
1656300122,17,17
1656300723,12,12
1656301323,9,9
1656302522,24,24
1656303122,8,8
1656304323,9,9
1656304922,9,9
1656306123,17,17
1656306723,13,12
1656307322,44,44
1656307923,10,10
1656309122,5,5
1656310922,3,3
1656311522,4,4
1656312722,2,2
1656314522,30,30
1656315123,8,8
1656315722,6,6
1656316322,15,15
1656316922,4,4
1656318122,9,9
1656318722,8,8
1656319921,2,2
1656320522,3,3
1656321122,5,5
1656321722,2,2
1656322322,8,8
1656322922,8,8
1656324122,45,45
1656325322,11,11
1656325923,2,2
1656327122,8,8
1656327722,1,1
1656328922,4,4
1656330122,2,2
1656331322,1,1
1656332522,12,12
1656333122,9,9
1656333722,6,6
1656334322,4,4
1656334922,6,6
1656335522,7,7
1656336722,7,7
1656337322,5,5
1656337922,5,5
1656339722,5,5
1656340322,12,12
1656341522,6,6
1656342722,5,5
1656343322,1,1
1656343923,9,9
1656345122,17,18
1656345722,8,8
1656346922,10,10
1656347522,5,5
1656348122,6,6
1656348721,6,6
1656349322,10,10
1656350522,9,9
1656351122,13,13
1656352322,21,21
1656352922,13,13
1656353522,10,10
1656354123,9,9
1656354722,6,6
1656355322,11,11
1656356523,10,10
1656357722,15,15
1656358922,19,19
1656360122,20,20
1656360723,8,8
1656361322,11,11
1656361923,4,4
1656363122,6,6
1656363722,10,10
1656364922,15,15
1656365523,5,4
1656366723,12,12
1656367322,4,4
1656368522,11,11
1656369123,10,11
1656370922,8,8
1656371522,11,11
1656372122,7,7
1656373322,21,20
1656373922,4,4
1656374522,6,6
1656375122,5,5
1656375722,24,24
1656376922,18,18
1656378122,35,35
1656379322,22,22
1656379922,15,15
1656381122,17,17
1656381722,9,9
1656382922,8,8
1656384122,9,9
1656386522,10,10
1656387122,9,9
1656388922,12,12
1656390122,27,27
1656390722,15,15
1656391922,32,32
1656392522,21,21
1656393722,22,22
1656394322,17,17
1656395522,17,17
1656396123,9,9
1656397322,8,8
1656399123,7,7
1656399722,3,3
1656400322,9,9
1656400923,4,4
1656401523,7,7
1656402722,3,3
1656403322,3,3
1656404523,5,5
1656405722,1,1
1656406922,2,2
1656408122,3,3
1656408722,5,5
1656409922,2,2
1656410522,42,42
1656411722,16,16
1656413522,1,1
1656415322,4,4
1656416522,1,1
1656417722,3,3
1656418922,9,9
1656420122,4,4
1656420722,1,1
1656421922,4,4
1656422522,2,2
1656423123,6,6
1656424922,6,6
1656426122,1,1
1656427322,6,6
1656428522,6,6
1656429122,54,55
1656430322,12,12
1656430922,2,2
1656432122,4,4
1656433323,6,6
1656434522,14,14
1656435122,5,5
1656435722,7,7
1656436322,5,5
1656438122,6,6
1656438722,4,4
1656439322,9,9
1656440522,10,10
1656441123,7,7
1656442322,7,7
1656442922,5,5
1656443522,12,12
1656444122,3,3
1656445322,11,11
1656445922,6,6
1656447722,13,13
1656448322,5,5
1656449522,9,9
1656450122,5,5
1656450722,3,3
1656451922,5,5
1656453722,12,12
1656454922,14,14
1656455522,14,13
1656456122,14,14
1656457322,14,15
1656457923,10,10
1656458522,1,1
1656459723,7,6
1656460322,6,7
1656461522,10,9
1656462122,7,7
1656463322,10,10
1656463922,14,14
1656464522,9,9
1656465722,9,9
